0,457,516,659,517
1,456,516,660,518
2,457,516,659,518
3,456,516,659,518
4,455,516,658,518
5,456,517,660,519
6,455,516,659,518
7,455,516,659,519
8,456,517,660,519
9,454,516,658,518
10,455,517,659,519
11,455,517,657,519
12,454,517,657,519
13,454,517,658,519
14,455,517,658,519
15,454,518,657,520
16,454,517,658,519
17,453,517,657,519
18,454,517,658,519
19,454,517,657,519
20,455,517,658,519
21,456,517,658,519
22,455,517,658,519
23,456,517,658,519
24,456,518,659,519
25,455,518,658,520
26,456,518,658,520
27,456,518,659,520
28,457,517,660,519
29,456,516,660,518
30,457,516,659,518
31,456,516,660,519
32,457,516,660,518
33,457,515,660,517
34,457,515,660,517
35,458,514,661,517
36,457,513,661,516
37,457,514,662,516
38,458,514,661,517
39,457,516,660,518
40,457,515,661,516
41,457,515,660,517
42,456,514,660,516
43,455,515,660,516
44,456,515,660,516
45,456,515,659,516
46,455,515,659,516
47,455,516,660,517
48,455,516,659,516
49,456,516,660,518
50,457,517,660,519
51,457,517,660,518
52,457,518,660,519
53,457,519,660,521
54,456,518,660,520
55,456,518,659,520
56,455,518,658,521
57,455,518,658,521
58,454,520,658,522
59,454,519,657,522
60,454,520,658,522
61,453,521,656,523
62,453,521,656,523
63,452,523,655,524
64,452,523,656,524
65,451,523,655,524
66,450,523,654,525
67,450,524,654,525
68,449,524,653,526
69,449,524,652,526
70,448,524,652,526
71,449,524,652,526
72,448,524,652,526
73,448,525,651,527
74,448,526,651,527
75,449,527,652,528
76,449,527,651,529
77,449,529,651,530
78,448,529,651,530
79,448,530,650,531
80,447,530,651,532
81,448,532,651,533
82,448,533,650,534
83,448,534,650,536
84,447,535,650,536
85,447,535,649,536
86,447,536,648,538
87,448,537,649,539
88,448,538,649,539
89,447,538,649,540
90,448,539,650,540
91,448,539,649,541
92,448,540,649,541
93,447,541,650,542
94,448,541,650,542
95,448,543,650,544
96,448,544,650,545
97,448,546,649,546
98,448,547,648,547
99,448,549,648,548
100,447,549,648,550
101,447,552,648,551
102,449,553,648,553
103,449,554,649,554
104,449,555,649,555
105,449,557,648,558
106,450,558,648,558
107,448,560,648,560
108,449,561,649,562
109,450,563,649,564
110,451,564,650,564
111,451,565,651,565
112,451,566,650,566
113,450,567,649,568
114,450,570,649,570
115,449,570,648,571
116,450,572,649,572
117,449,573,648,574
118,448,575,647,575
119,449,575,647,576
120,449,578,648,577
121,448,579,647,579
122,449,580,648,581
123,450,582,648,582
124,450,583,649,584
125,449,584,647,586
126,450,586,649,587
127,449,587,648,588
128,450,590,647,590
129,449,590,647,591
130,448,592,646,593
131,448,591,646,593
132,447,594,645,594
133,446,594,644,595
134,446,596,644,596
135,444,596,643,596
136,444,597,642,597
137,445,598,643,598
138,444,598,642,598
139,443,600,641,600
140,443,600,642,600
141,444,601,642,601
142,443,601,641,602
143,442,602,641,602
144,442,602,642,602
145,443,604,641,603
146,441,603,640,604
147,443,604,641,604
148,443,605,641,605
149,444,605,642,606
150,443,605,642,605
